product_id,product_name,product_category
183,Салат,Овощи
79,Сметана,Молочные продукты
25,Апельсин,Фрукты
3,Кофе,Напитки
138,Хлеб,Зерновые
114,Сок,Напитки
31,Сок,Напитки
5,Морковь,Овощи
94,Овсянка,Зерновые
40,Манго,Фрукты
143,Овсянка,Зерновые
33,Банан,Фрукты
198,Говядина,Мясо
188,Макароны,Зерновые
92,Груша,Фрукты
97,Помидор,Овощи
168,Рыба,Мясо
34,Макароны,Зерновые
197,Кофе,Напитки
46,Брокколи,Овощи
26,Овсянка,Зерновые
109,Кофе,Напитки
95,Сметана,Молочные продукты
56,Лимонад,Напитки
134,Рыба,Мясо
18,Яблоко,Фрукты
118,Сметана,Молочные продукты
180,Молоко,Молочные продукты
89,Кофе,Напитки
195,Макароны,Зерновые
10,Овсянка,Зерновые
30,Овсянка,Зерновые
147,Рис,Зерновые
115,Банан,Фрукты
96,Кролик,Мясо
140,Хлеб,Зерновые
146,Свинина,Мясо
85,Яблоко,Фрукты
196,Помидор,Овощи
148,Свинина,Мясо
162,Салат,Овощи
88,Яблоко,Фрукты
29,Сок,Напитки
172,Апельсин,Фрукты
59,Гречка,Зерновые
137,Макароны,Зерновые
108,Овсянка,Зерновые
54,Кролик,Мясо
91,Картофель,Овощи
107,Брокколи,Овощи
83,Овсянка,Зерновые
52,Свинина,Мясо
175,Манго,Фрукты
62,Курица,Мясо
176,Банан,Фрукты
84,Говядина,Мясо
200,Кролик,Мясо
15,Молоко,Молочные продукты
155,Масло,Молочные продукты
17,Морковь,Овощи
106,Морковь,Овощи
157,Масло,Молочные продукты
11,Манго,Фрукты
32,Творог,Молочные продукты
194,Апельсин,Фрукты
124,Кофе,Напитки
82,Банан,Фрукты
77,Сок,Напитки
156,Манго,Фрукты
136,Курица,Мясо
166,Морковь,Овощи
49,Сметана,Молочные продукты
111,Кролик,Мясо
37,Апельсин,Фрукты
103,Лимонад,Напитки
60,Банан,Фрукты
28,Гречка,Зерновые
167,Апельсин,Фрукты
161,Масло,Молочные продукты
122,Говядина,Мясо
48,Морковь,Овощи
4,Курица,Мясо
163,Хлеб,Зерновые
42,Яблоко,Фрукты
55,Говядина,Мясо
8,Хлеб,Зерновые
13,Овсянка,Зерновые
9,Хлеб,Зерновые
174,Груша,Фрукты
154,Кролик,Мясо
104,Овсянка,Зерновые
23,Сыр,Молочные продукты
123,Салат,Овощи
185,Кролик,Мясо
22,Яблоко,Фрукты
21,Манго,Фрукты
93,Лимонад,Напитки
53,Банан,Фрукты
51,Сок,Напитки
38,Картофель,Овощи
159,Груша,Фрукты
44,Говядина,Мясо
184,Сметана,Молочные продукты
99,Макароны,Зерновые
12,Сыр,Молочные продукты
50,Масло,Молочные продукты
116,Сметана,Молочные продукты
110,Сыр,Молочные продукты
135,Овсянка,Зерновые
130,Гречка,Зерновые
7,Вода,Напитки
189,Овсянка,Зерновые
150,Масло,Молочные продукты
70,Гречка,Зерновые
171,Груша,Фрукты
20,Чай,Напитки
63,Манго,Фрукты
117,Хлеб,Зерновые
132,Творог,Молочные продукты
142,Свинина,Мясо
1,Масло,Молочные продукты
141,Масло,Молочные продукты
125,Морковь,Овощи
186,Рыба,Мясо
66,Кофе,Напитки
6,Манго,Фрукты
190,Морковь,Овощи
78,Брокколи,Овощи
24,Чай,Напитки
169,Помидор,Овощи
58,Апельсин,Фрукты
165,Чай,Напитки
182,Свинина,Мясо
27,Салат,Овощи
120,Банан,Фрукты
160,Свинина,Мясо
112,Чай,Напитки
113,Хлеб,Зерновые
68,Чай,Напитки
153,Творог,Молочные продукты
101,Чай,Напитки
47,Картофель,Овощи
19,Лимонад,Напитки
87,Манго,Фрукты
75,Апельсин,Фрукты
36,Вода,Напитки
86,Картофель,Овощи
145,Чай,Напитки
98,Манго,Фрукты
35,Вода,Напитки
65,Свинина,Мясо
131,Морковь,Овощи
121,Рис,Зерновые
71,Сок,Напитки
149,Кофе,Напитки
102,Кофе,Напитки
43,Лимонад,Напитки
199,Брокколи,Овощи
181,Хлеб,Зерновые
73,Сок,Напитки
80,Яблоко,Фрукты
177,Банан,Фрукты
170,Чай,Напитки
158,Помидор,Овощи
14,Кофе,Напитки
152,Морковь,Овощи
193,Макароны,Зерновые
187,Гречка,Зерновые
72,Говядина,Мясо
16,Молоко,Молочные продукты
128,Яблоко,Фрукты
39,Кофе,Напитки
127,Груша,Фрукты
81,Картофель,Овощи
164,Масло,Молочные продукты
126,Банан,Фрукты
64,Сок,Напитки
191,Чай,Напитки
119,Гречка,Зерновые
133,Сыр,Молочные продукты
105,Курица,Мясо
173,Творог,Молочные продукты
45,Чай,Напитки
178,Молоко,Молочные продукты
57,Лимонад,Напитки
2,Кофе,Напитки
76,Сметана,Молочные продукты
192,Груша,Фрукты
144,Яблоко,Фрукты
100,Кролик,Мясо
151,Сок,Напитки
139,Груша,Фрукты
67,Гречка,Зерновые
69,Манго,Фрукты
179,Молоко,Молочные продукты
129,Манго,Фрукты
74,Хлеб,Зерновые
90,Курица,Мясо
61,Помидор,Овощи
41,Сметана,Молочные продукты
